position,title,price,indian_price,link,source,thumbnail,extensions
1,Samsung - Galaxy S23 Ultra - Lavender - 256GB (with 24 monthly payments) - Samsung Galaxy Phone,$0.00 ,0,https://www.t-mobile.com/cell-phone/samsung-galaxy-s23-ultra?sku=610214677860,T-Mobile,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc27174027579e329da350ec564affe1145d63.jpeg,NA
2,Samsung - Galaxy Z Flip5 - 256GB - Lavender (with contract),$0.00 ,0,https://www.att.com/buy/phones/samsung-galaxy-z-flip5-256gb-lavender.html?source=E-g2s10000000000X&wtExtndSource=SWIS-Samsung,AT&T,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc2717d8ca317dd6aae704f6c31879c2bea6be.jpeg,NA
3,Samsung - Galaxy S23 Ultra 256GB Green | Smartphone | Verizon,$0.00 ,0,https://www.verizon.com/smartphones/samsung-galaxy-s23-ultra/?sku=sku5811695,Verizon,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc27175d644fff25384c3c90567bccd1b63822.jpeg,NA
4,Samsung - Galaxy A54 5G 128GB Awesome Graphite - Cricket Wireless,$99.99 ,99.99,https://www.cricketwireless.com/prepaid-phones/smartphones/Samsung-galaxy-a54-5g-awesome-graphite.html?utm_source=google&utm_medium=surfaces&utm_campaign=shopping%20feed&utm_content=free%20google%20shopping%20clicks,Cricket Wireless,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc271786ed5e266d2822132783e636659ec09f.jpeg,'Sale'
5,Samsung - Galaxy Z Flip3 5G 128GB in Lavender | Smartphone | Verizon,$0.00 ,0,https://www.verizon.com/smartphones/samsung-galaxy-z-flip3-5g/?sku=sku4650065,Verizon,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc27173f231d976338f96eaf7bf7970d32ee71.jpeg,NA
6,Samsung - Galaxy S23 Ultra - Phantom Black - 256GB (with 24 monthly payments) - Samsung Galaxy Phone,$0.00 ,0,https://www.t-mobile.com/cell-phone/samsung-galaxy-s23-ultra?sku=610214676719,T-Mobile,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc2717f5dbf9d60628f9aa363866150c05d6c4.jpeg,NA
7,Samsung - Galaxy Z Fold5 - 256GB - Phantom Black (with contract),$0.00 ,0,https://www.att.com/buy/phones/samsung-galaxy-z-fold5-256gb-phantom-black.html?source=E-g2s10000000000X&wtExtndSource=SWIS-Samsung,AT&T,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc271733cf0b99097adfaa155ab61029b98fbe.jpeg,NA
8,Samsung - Galaxy Z Fold5 - Icy Blue - 512GB (with 24 monthly payments) - Samsung Galaxy Phone,$119.99 ,119.99,https://www.t-mobile.com/cell-phone/samsung-galaxy-z-fold5?sku=610214678782,T-Mobile,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc27179c94cd812ecc790ba8a06e727e8d1dcb.jpeg,NA
9,Samsung - Galaxy S21 FE 5G 128GB Graphite - Cricket Wireless,$299.99 ,299.99,https://www.cricketwireless.com/prepaid-phones/smartphones/samsung-galaxy-s21-fe-5g-graphite.html?utm_source=google&utm_medium=surfaces&utm_campaign=shopping%20feed&utm_content=free%20google%20shopping%20clicks,Cricket Wireless,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc2717624f17095c2e508fe3c8bee4b75e3628.jpeg,'Sale'
10,Samsung - Galaxy A54 5G (with 24 monthly payments) - Samsung Galaxy Phone,$0.00 ,0,https://www.t-mobile.com/cell-phone/samsung-galaxy-a54-5g?sku=610214677518,T-Mobile,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc2717bc11a648e068028fbb0e453758e08d8c.jpeg,NA
11,Samsung - Galaxy S23+ 256GB in Lavender | Smartphone | Verizon,$0.00 ,0,https://www.verizon.com/smartphones/samsung-galaxy-s23-plus/?sku=sku5811668,Verizon,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc2717ac422be0616a0785821d5ed81b3af10a.jpeg,NA
12,Samsung - Galaxy Z Fold5 - 256GB - Icy Blue (with contract),$0.00 ,0,https://www.att.com/buy/phones/samsung-galaxy-z-fold5.html?source=E-g2s10000000000X&wtExtndSource=SWIS-Samsung,AT&T,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc27179c6a4dff25a74da7d4ab842891bd2b4d.jpeg,NA
13,Samsung - Galaxy Z Fold3 5G 256GB in Phantom Green | Smartphone | Verizon,$0.00 ,0,https://www.verizon.com/smartphones/samsung-galaxy-z-fold3-5g/?sku=sku4650071,Verizon,https://serpapi.com/searches/65116dbb629a01e9d27b690a/images/ffb657a040ef69af5d7bb4d4cadc2717529df96a4d2d8ddf98b9b8d7c5200229.jpeg,NA
