,thumbnail,source,title,snippets_text,rating,reviews,price,extracted_price,immersive_product_page_token,serpapi_link
0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQvCc7k-poPBEBiDXj_wu_2CtCFeaOIEUS623TRF9cBjYFgMWqgWmt4khVr-syQPJOj68XF8nsXiYoqtwb-jYfMcpJugoHzHB6ZWV8lcOq9qJniLoaH2pMfMQ,"Samsung, 10+ stores",Samsung Galaxy A14 5G,Improved selfie camera · No dedicated ultrawide module,4.6,9000,$199.99,199.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiNTQ4NTI2NzU0ODc5NTMyOTY5OCIsInZjIjoiIiwidnNjIjoiIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiOTQyMjIzNTk2NTQ1MjQ4MjY0MiIsImltYWdlRG9jaWQiOiIxMDIxMjY4ODQ2MTExMTY1MjM3IiwicmRzIjoiUENfMjY0NzE2MzcyMjE0ODUzOXxQUk9EX1BDXzI2NDcxNjM3MjIxNDg1MzkiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiNTQ4NTI2NzU0ODc5NTMyOTY5OCIsInZjIjoiIiwidnNjIjoiIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiOTQyMjIzNTk2NTQ1MjQ4MjY0MiIsImltYWdlRG9jaWQiOiIxMDIxMjY4ODQ2MTExMTY1MjM3IiwicmRzIjoiUENfMjY0NzE2MzcyMjE0ODUzOXxQUk9EX1BDXzI2NDcxNjM3MjIxNDg1MzkiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9
1,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTNnwRLVY2rJXrwI5YugfINBFm8f6Obfcp2dpO6GS5dBlhbdCgX94APVKukiLT9SzpV4vjeLrUe6DFAdAzzqPKMiSWovz9P4DFQHPjyGwwvIrawd2KJCFVY,"Samsung, 5+ stores",Samsung Galaxy A54 5G,Decent option for landscape photography · Slow autofocus in low light,4.6,9000,$449.99,449.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTMzMzgzMzg3NzI4MTk2MTU0NDUiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjE1NDc3NTY2NjEyODMwODAzNTc3IiwiaW1hZ2VEb2NpZCI6IjE1NzQwNzkyMTIyMTE2ODA4OTgwIiwicmRzIjoiUENfMTM2NDU3NzY1NjA2NzY3MTA0MDB8UFJPRF9QQ18xMzY0NTc3NjU2MDY3NjcxMDQwMCIsInF1ZXJ5Ijoic2Ftc3VuZyttb2JpbGVzIn0=,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTMzMzgzMzg3NzI4MTk2MTU0NDUiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjE1NDc3NTY2NjEyODMwODAzNTc3IiwiaW1hZ2VEb2NpZCI6IjE1NzQwNzkyMTIyMTE2ODA4OTgwIiwicmRzIjoiUENfMTM2NDU3NzY1NjA2NzY3MTA0MDB8UFJPRF9QQ18xMzY0NTc3NjU2MDY3NjcxMDQwMCIsInF1ZXJ5Ijoic2Ftc3VuZyttb2JpbGVzIn0%3D
2,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQHvQuxfbAlOLZil02puycdWfSz8AzVkEVGaC8XilFOrOXmmkANp0jAg1zaYDEvWNDlr43kFNopZu29X2AgHWoOTlxEh1lObIpYUSe29UPPcov5IxL9wWwm,"Samsung, 10+ stores",Samsung Galaxy S23 Ultra,Lower range helps preserve battery life with static content · Flatter display,4.7,9000,"$1,379.99",1379.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTU2NDMwNDQ3NTM3MTQxMzg0MzIiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjE2Njc1MTM4ODc5MzUyNDc3MTU3IiwiaW1hZ2VEb2NpZCI6IjE3MDkyODQzMjc4Njk3NjQ1OTU0IiwicmRzIjoiUENfNDEyOTAyMDgxNzM2NzQ1MzM2MnxQUk9EX1BDXzQxMjkwMjA4MTczNjc0NTMzNjIiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTU2NDMwNDQ3NTM3MTQxMzg0MzIiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjE2Njc1MTM4ODc5MzUyNDc3MTU3IiwiaW1hZ2VEb2NpZCI6IjE3MDkyODQzMjc4Njk3NjQ1OTU0IiwicmRzIjoiUENfNDEyOTAyMDgxNzM2NzQ1MzM2MnxQUk9EX1BDXzQxMjkwMjA4MTczNjc0NTMzNjIiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9
3,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQwiBeFY7IFsI0hk2K54hQA-00NPbZaUcwFdtnpRkx2wLsoZCJ4QAPoJDMCn5UpcnLvnrfgEZENGOTZF89vN_RKqIZjlvcxc2fb50uU5vYrtBy9qGxfmEnqNA,"Samsung, 10+ stores",Samsung Galaxy S23,Solid lineup of cameras · More expensive,4.5,9000,$799.99,799.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTcwMzI2OTM3NjIyNzU0NDIzNTciLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjE3MzI3MzgyMTAyODIyNzk2MDM3IiwiaW1hZ2VEb2NpZCI6IjE3NTg5MTEzNzA2MzQ1MDYwODkwIiwicmRzIjoiUENfODg3NDc2OTg3MjYwNDc0MjQ5MHxQUk9EX1BDXzg4NzQ3Njk4NzI2MDQ3NDI0OTAiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTcwMzI2OTM3NjIyNzU0NDIzNTciLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjE3MzI3MzgyMTAyODIyNzk2MDM3IiwiaW1hZ2VEb2NpZCI6IjE3NTg5MTEzNzA2MzQ1MDYwODkwIiwicmRzIjoiUENfODg3NDc2OTg3MjYwNDc0MjQ5MHxQUk9EX1BDXzg4NzQ3Njk4NzI2MDQ3NDI0OTAiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9
4,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTxlEmZ4PA45fmrj_oOJPnq_KFw-kmQWEGBhZnpFmZ_oKd-nXywo7twmANpZodJsaqc9PLi0aBwu49XyBBlTbwHcYUglNA7Tr31Tkb4X9seVGbJuSV0-vDh,"Samsung, 10+ stores",Samsung Galaxy A23 5G,Dynamic range seems better than most phones in this price range · Solid performance,4.2,5000,$299.99,299.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiNzc3MDMwNjA0OTU0OTg0MzE4MCIsInZjIjoiIiwidnNjIjoiIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMTcyODA2MDgxOTgxMzcwMjk5NjUiLCJpbWFnZURvY2lkIjoiMzkxMTMxMTE1MTA3MTUzMjE3NiIsInJkcyI6IlBDXzE2OTY1MTA0NjMyMjQ0MjcyODN8UFJPRF9QQ18xNjk2NTEwNDYzMjI0NDI3MjgzIiwicXVlcnkiOiJzYW1zdW5nK21vYmlsZXMifQ==,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiNzc3MDMwNjA0OTU0OTg0MzE4MCIsInZjIjoiIiwidnNjIjoiIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMTcyODA2MDgxOTgxMzcwMjk5NjUiLCJpbWFnZURvY2lkIjoiMzkxMTMxMTE1MTA3MTUzMjE3NiIsInJkcyI6IlBDXzE2OTY1MTA0NjMyMjQ0MjcyODN8UFJPRF9QQ18xNjk2NTEwNDYzMjI0NDI3MjgzIiwicXVlcnkiOiJzYW1zdW5nK21vYmlsZXMifQ%3D%3D
5,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcROUttEmJcdhnqZFqSd4Wt0cedD-HSdO9TFmgEHVcSOmul3DCbby70fxvEJwQIZWydoVicVm1ICMSwwLTlfq2bPit5G8orLUp18DSCXWd08gs_kdYvhrGly,"Samsung, 10+ stores",Samsung Galaxy S23+,Great performance and battery life · Bright and vivid display,4.6,7000,$999.99,999.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTY1NzM2NTAzNDY2MjU2MjAxMzQiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjIzNjAyNTc3NzYwODE2NTAzNzMiLCJpbWFnZURvY2lkIjoiMTUxNjQ5NDc1MjA0ODg1MDIyMCIsInJkcyI6IlBDXzEzNzI3NzA0MTc4MjI0Mjk4Nzc4fFBST0RfUENfMTM3Mjc3MDQxNzgyMjQyOTg3NzgiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTY1NzM2NTAzNDY2MjU2MjAxMzQiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjIzNjAyNTc3NzYwODE2NTAzNzMiLCJpbWFnZURvY2lkIjoiMTUxNjQ5NDc1MjA0ODg1MDIyMCIsInJkcyI6IlBDXzEzNzI3NzA0MTc4MjI0Mjk4Nzc4fFBST0RfUENfMTM3Mjc3MDQxNzgyMjQyOTg3NzgiLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9
6,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTv4NKe36d5_To8_Y9k9JBXd060K9C4oh5XuQP43Jx99nNKHhn7ipuGu8TMFW-_wH6lmDZsEtKktXgL3XGNk-m-8R_iCRkn9ojy8Ggz8R29GieP08zilPKR,"Samsung, 10+ stores",Samsung Galaxy S22,Excellent displays · Powerful processor,4.3,9000,$699.99,699.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTU5MTM0MDc5MDA3MzIwNDU1OTYiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjIzNzIwMzY2NDk5MjUzNDQ3MjEiLCJpbWFnZURvY2lkIjoiMTkxNzcyMDkxODYyNjc0MjIyMSIsInJkcyI6IlBDXzEwNTA3MDc0OTIxNDMzNjM0OTc3fFBST0RfUENfMTA1MDcwNzQ5MjE0MzM2MzQ5NzciLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTU5MTM0MDc5MDA3MzIwNDU1OTYiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjIzNzIwMzY2NDk5MjUzNDQ3MjEiLCJpbWFnZURvY2lkIjoiMTkxNzcyMDkxODYyNjc0MjIyMSIsInJkcyI6IlBDXzEwNTA3MDc0OTIxNDMzNjM0OTc3fFBST0RfUENfMTA1MDcwNzQ5MjE0MzM2MzQ5NzciLCJxdWVyeSI6InNhbXN1bmcrbW9iaWxlcyJ9
7,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR0iFC70OFRrK7vRevxROTcZM0rfWBNXgOpnKUUYbtysP_PJNGk6hq2AbZHHnCc-xts4sbgm09nRe3ThAJt9QM21_zBOQt_c1XiPx1cXubQ,"Samsung, 10+ stores",Samsung Galaxy Z Fold3 5G,Improved multitasking · More durable design,4.4,9000,"$1,799.99",1799.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTA1NTI0MTUxNjQzNDM1MTM3MzMiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjExODMyNjY4NjI4MDUwNTQyODc2IiwiaW1hZ2VEb2NpZCI6IjExMDY2MzIwNTMwMDQwMTg1OTk3IiwicmRzIjoiUENfMTY4ODc0MjkyOTg3MTgzMTM4NDh8UFJPRF9QQ18xNjg4NzQyOTI5ODcxODMxMzg0OCIsInF1ZXJ5Ijoic2Ftc3VuZyttb2JpbGVzIn0=,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTA1NTI0MTUxNjQzNDM1MTM3MzMiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjExODMyNjY4NjI4MDUwNTQyODc2IiwiaW1hZ2VEb2NpZCI6IjExMDY2MzIwNTMwMDQwMTg1OTk3IiwicmRzIjoiUENfMTY4ODc0MjkyOTg3MTgzMTM4NDh8UFJPRF9QQ18xNjg4NzQyOTI5ODcxODMxMzg0OCIsInF1ZXJ5Ijoic2Ftc3VuZyttb2JpbGVzIn0%3D
8,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSOp1dBJxht8aQrXsCtpMaTx1ghOVPWSjdvIAxESVotq7ScoG2JMuX8-oz6P20pYbjCdwpvb3DG6fYn5dyjQLrVgXU-1ze1wPsdiMnb5BbhgFKLS14_m2c8DA,"Samsung, 10+ stores",Samsung Galaxy A53 5G (2022),High-quality smartphone experience · All-day battery life,4.4,8000,$449.99,449.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiNTYxOTUzNzkzOTA1MTgwNjA2NCIsInZjIjoiIiwidnNjIjoiIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMTA1NjQ4NzI2NDQ2NzMzMzc0NDYiLCJpbWFnZURvY2lkIjoiNzk1NzM0NTQyOTYxNjQ1NzcyOCIsInJkcyI6IlBDXzI3NzQyMjY1NzAyNTQwNjUzOHxQUk9EX1BDXzI3NzQyMjY1NzAyNTQwNjUzOCIsInF1ZXJ5Ijoic2Ftc3VuZyttb2JpbGVzIn0=,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiNTYxOTUzNzkzOTA1MTgwNjA2NCIsInZjIjoiIiwidnNjIjoiIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMTA1NjQ4NzI2NDQ2NzMzMzc0NDYiLCJpbWFnZURvY2lkIjoiNzk1NzM0NTQyOTYxNjQ1NzcyOCIsInJkcyI6IlBDXzI3NzQyMjY1NzAyNTQwNjUzOHxQUk9EX1BDXzI3NzQyMjY1NzAyNTQwNjUzOCIsInF1ZXJ5Ijoic2Ftc3VuZyttb2JpbGVzIn0%3D
9,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTbLvxtcSkuA6Ck2QgwlS5mnMUvO-UDxwGPq0xF4tiwNxmmtkVP-wtUvM6kyDEddSLBVewKokVEr1PzYlcLXwM4yBDxy7kowaiJ1PFNvqg23RvSOFyy1XYT,"Samsung, 10+ stores",Samsung Galaxy Z Flip 5,Long-lasting battery · Fast wireless charging,4.6,3000,"$1,119.99",1119.99,eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTYzNTI2MzY3NzMxMzgwOTgxOTIiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjcxNjMzODQ2NzczNzA4Mjc3MTIiLCJpbWFnZURvY2lkIjoiMTM4ODQ0NzAxNjg0MTcxMTkwNDQiLCJyZHMiOiJQQ18xMjA5NDMwMjQ5MjQ2MzI0NTg1NnxQUk9EX1BDXzEyMDk0MzAyNDkyNDYzMjQ1ODU2IiwicXVlcnkiOiJzYW1zdW5nK21vYmlsZXMifQ==,https://serpapi.com/search.json?engine=google_immersive_product&page_token=eyJlaSI6IndaUVJaY0dzT29yWDVOb1A2ZlN6a0FVIiwicHJvZHVjdGlkIjoiIiwiY2F0YWxvZ2lkIjoiMTYzNTI2MzY3NzMxMzgwOTgxOTIiLCJ2YyI6IiIsInZzYyI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjcxNjMzODQ2NzczNzA4Mjc3MTIiLCJpbWFnZURvY2lkIjoiMTM4ODQ0NzAxNjg0MTcxMTkwNDQiLCJyZHMiOiJQQ18xMjA5NDMwMjQ5MjQ2MzI0NTg1NnxQUk9EX1BDXzEyMDk0MzAyNDkyNDYzMjQ1ODU2IiwicXVlcnkiOiJzYW1zdW5nK21vYmlsZXMifQ%3D%3D
